License Issue Date;License Number;Animal's Name;Species;Primary Breed;Secondary Breed;ZIP Code
December 18 2015;S107948;Zen;Cat;Domestic Longhair;Mix;98117
June 14 2016;S116503;Misty;Cat;Siberian;;98117
August 04 2016;S119301;Lyra;Cat;Mix;;98121
February 13 2019;962273;Veronica;Cat;Domestic Longhair;;98107
August 10 2019;S133113;Spider;Cat;LaPerm;;98115
November 21 2019;8002549;Maxx;Cat;American Shorthair;;98125
January 12 2020;S151906;Sammy;Cat;Domestic Shorthair;Mix;98116
May 19 2020;8015649;Bradley;Cat;Siamese;;98101
May 24 2020;S142869;Mickey;Cat;Domestic Longhair;;98126
July 03 2020;S112835;Diamond;Cat;Domestic Shorthair;Mix;98103
July 16 2020;83454;Dali;Cat;Domestic Shorthair;;98119
July 21 2020;S131986;Nacho;Cat;Domestic Shorthair;Mix;98126
August 18 2020;8019541;Gracie;Cat;Domestic Medium Hair;Mix;98133
September 08 2020;S141990;Ramon;Cat;Domestic Shorthair;Mix;98116
September 17 2020;8015827;Luna;Cat;Ragdoll;;98112
November 03 2020;S112996;Pixel;Cat;Domestic Medium Hair;Mix;98112
November 17 2020;S146576;C.C.;Cat;Domestic Shorthair;Mix;98117
November 20 2020;77412;Gemma;Cat;Siamese;American Shorthair;98126
November 24 2020;896993;Oliver;Cat;Domestic Longhair;Mix;98199
December 15 2020;832271;Silky Frances;Cat;Domestic Shorthair;;98115
December 20 2020;S114008;Jesse;Cat;Domestic Shorthair;Mix;98103
December 23 2020;833148;Lucy;Cat;Domestic Shorthair;;98116
January 18 2021;8025074;Ember;Cat;Domestic Medium Hair;Mix;98117
January 23 2021;S147201;Fergus;Cat;Maine Coon;Mix;98125
January 27 2021;8018982;Bones;Cat;Mix;;98122
February 03 2021;8004418;Emme;Cat;Domestic Shorthair;Mix;98136
February 16 2021;833680;Coal;Cat;Domestic Shorthair;;98115
March 23 2021;8016704;Pip;Cat;Domestic Medium Hair;Mix;98118
March 31 2021;8018252;Kekoa;Cat;American Shorthair;Mix;98112
April 07 2021;19048;Rudy;Cat;Domestic Shorthair;;98103
April 09 2021;8004956;Custo;Cat;Domestic Shorthair;Mix;98117
April 10 2021;8015883;Edward;Cat;Domestic Shorthair;Mix;98103
April 10 2021;S145248;Honey;Cat;Domestic Medium Hair;Mix;98144
April 26 2021;S123490;Boots;Cat;Domestic Shorthair;Mix;98125
April 28 2021;8008321;Cece;Cat;American Shorthair;Mix;98125
May 02 2021;8028297;Noir;Cat;Mix;Mix;98103
May 07 2021;273780;Taffy;Cat;Siamese;Mix;98125
May 28 2021;S150479;Seamus;Cat;Domestic Shorthair;Mix;98104
June 17 2021;S112839;Guinness;Cat;Domestic Shorthair;Mix;98133
June 21 2021;S121230;Ebi;Cat;Domestic Medium Hair;;98119
June 21 2021;S121231;Toro;Cat;Domestic Shorthair;;98119
July 19 2021;8029709;Pippin;Cat;Persian;Mix;98105
July 23 2021;133986;Milo;Cat;LaPerm;;98133
July 23 2021;8030061;Luna Lovegood;Cat;Domestic Longhair;Mix;98117
August 03 2021;S150617;Eugene;Cat;Domestic Shorthair;Mix;98125
August 12 2021;8031685;Casper;Cat;Domestic Shorthair;;98126
August 19 2021;8010082;Mouse;Cat;Domestic Shorthair;;98199
August 31 2021;S143979;Olly;Cat;Domestic Shorthair;;98136
September 10 2021;8032534;Oatey or odin;Cat;Maine Coon;;98199
September 21 2021;8031624;Koa;Cat;Burmese;;98125
September 25 2021;140426;Theodore;Cat;Domestic Shorthair;;98144
October 06 2021;140669;Skimble;Cat;American Shorthair;;98116
October 21 2021;8001165;Brie;Cat;American Shorthair;Mix;98105
October 21 2021;85529;Cody;Cat;American Shorthair;;98105
October 21 2021;732760;Gatsby;Cat;American Shorthair;;98105
October 25 2021;8033726;Binu;Cat;Domestic Shorthair;Mix;98119
October 28 2021;S153294;Mudflap;Cat;Domestic Longhair;Mix;98115
October 29 2021;825012;Ricky;Cat;Norwegian Forest;;98136
October 31 2021;S100358;Roushe;Cat;Domestic Shorthair;;98144
"November 06 2021;204655;""Katie """"Kitty"""""";Cat;Domestic Shorthair;Siamese;98136"
November 10 2021;S150979;Tom;Cat;Domestic Shorthair;Mix;98117
November 11 2021;560462;Jóna;Cat;Domestic Shorthair;;98136
November 15 2021;133600;Precious;Cat;Persian;;98121
November 15 2021;8014960;Juno;Cat;Domestic Shorthair;Mix;98116
November 26 2021;8028480;Louie;Cat;Domestic Shorthair;Mix;98125
November 26 2021;8028478;Lyra;Cat;Domestic Shorthair;Siamese;98125
December 06 2021;8028320;Zora;Cat;Ragdoll;;98109
December 08 2021;74053;Franny;Cat;Domestic Shorthair;Norwegian Forest;98122
December 09 2021;140706;Friar;Cat;Domestic Longhair;Mix;98133
December 12 2021;8015180;Jiji;Cat;Maine Coon;Mix;98122
December 13 2021;8034900;Catfish;Cat;Domestic Shorthair;Mix;98107
December 15 2021;351170;Snowcap;Cat;Domestic Shorthair;;98112
December 18 2021;434832;Yuki;Cat;Domestic Shorthair;;98125
December 22 2021;8035084;Pumpkin;Cat;Domestic Shorthair;;98116
December 31 2021;S139514;Hemingway;Cat;Domestic Shorthair;;98125
December 31 2021;28239;Winnie;Cat;Domestic Shorthair;Mix;98117
January 01 2022;8014738;Rosalind;Cat;Domestic Shorthair;;98109
January 01 2022;S101684;Puck;Cat;Domestic Shorthair;Mix;98112
January 01 2022;8035252;Marissa;Cat;Domestic Shorthair;Mix;98116
January 01 2022;8015213;Marble;Cat;Mix;Mix;98144
January 01 2022;8015212;Flint;Cat;Mix;Mix;98144
January 01 2022;8035255;Dawson;Cat;Domestic Shorthair;Mix;98122
January 02 2022;26417;Leo;Cat;Maine Coon;;98125
January 02 2022;8015107;Oscar;Cat;Domestic Shorthair;Mix;98117
January 02 2022;S157974;Gwenith;Cat;Domestic Longhair;Mix;98104
January 02 2022;8035279;Vladimir;Cat;Domestic Shorthair;Mix;98133
January 03 2022;S111130;Guru;Cat;Chinese Domestic;;98109
January 03 2022;8014886;Susu;Cat;Domestic Shorthair;Mix;98112
January 03 2022;S104310;Tamaki;Cat;Domestic Shorthair;Mix;98125
January 03 2022;S104309;Benio;Cat;Domestic Shorthair;Mix;98125
January 03 2022;S110376;Jack;Cat;Mix;Domestic Shorthair;98112
January 03 2022;S110375;Archie;Cat;Mix;Domestic Shorthair;98112
January 03 2022;S111266;Zuko;Cat;Siberian;;98112
January 03 2022;S111265;Sokka;Cat;Siberian;;98112
January 03 2022;S140229;Remington;Cat;Norwegian Forest;;98144
January 03 2022;S110354;Magnus;Cat;Norwegian Forest;;98144
January 03 2022;S157981;Dreidel;Cat;Domestic Shorthair;Mix;98116
January 03 2022;8035317;Honey;Cat;Domestic Shorthair;Mix;98116
January 03 2022;22145;Seahorse;Cat;Domestic Shorthair;;98122
January 04 2022;S109831;Oreo;Cat;Siamese;Mix;98108
January 04 2022;S127659;Barack Omid Duke;Cat;Domestic Shorthair;Mix;98103
January 04 2022;8035340;Florencia;Cat;Mix;Mix;98122
January 04 2022;8035343;Rylee;Cat;Domestic Medium Hair;Mix;98115
January 04 2022;S151926;Jet;Cat;Domestic Shorthair;Mix;98115
January 04 2022;S151927;Vickie;Cat;Snowshoe;Siamese;98115
January 04 2022;S148858;Bespin;Cat;Ragdoll;;98119
January 04 2022;8035345;Mr Cat;Cat;Domestic Shorthair;Mix;98126
January 04 2022;S110516;Margo;Cat;Domestic Shorthair;;98133
January 04 2022;8035361;Burt;Cat;American Shorthair;;98115
January 04 2022;9268;Leo;Cat;Domestic Longhair;;98102
January 05 2022;22689;Felix;Cat;Siamese;;98102
January 05 2022;S111112;Petunia;Cat;Siberian;;98109
January 05 2022;S109494;Scarlett;Cat;Domestic Medium Hair;Mix;98103
January 05 2022;8014790;Pogo;Cat;Domestic Shorthair;Mix;98103
January 05 2022;S109926;Jevon;Cat;American Shorthair;;98104
January 05 2022;S111255;Geno;Cat;Domestic Shorthair;;98103
January 05 2022;8014768;Socks;Cat;Siberian;;98112
January 05 2022;8035397;Baby Girl;Cat;Domestic Medium Hair;Mix;98106
January 06 2022;S137480;Crotalus;Cat;Domestic Shorthair;Mix;98107
January 06 2022;S139086;Nemo;Cat;Domestic Shorthair;Mix;98199
January 06 2022;S139087;Noche;Cat;Domestic Shorthair;Mix;98199
January 06 2022;8014761;Luana;Cat;Tonkinese;;98125
January 06 2022;8015733;Pip-squeak;Cat;Domestic Shorthair;Mix;98115
January 06 2022;8035411;Bubbles;Cat;Domestic Medium Hair;Mix;98102
January 06 2022;S111297;Mae;Cat;Domestic Shorthair;;98108
January 07 2022;8015017;Oz;Cat;Maine Coon;Mix;98112
January 07 2022;28528;Roscoe;Cat;Domestic Shorthair;;98118
January 07 2022;S157046;Fortune;Cat;Domestic Shorthair;Mix;98109
January 07 2022;S153320;Sven;Cat;Domestic Shorthair;Mix;98122
January 08 2022;8035440;Leo;Cat;Chartreux;Mix;98146
January 08 2022;S109828;Shade;Cat;Domestic Shorthair;;98136
January 08 2022;S109827;Bugs Bunny;Cat;Manx;;98136
January 08 2022;8014752;Cedar;Cat;Domestic Shorthair;Mix;98133
January 09 2022;S157859;Bowzer;Cat;Domestic Longhair;;98115
January 09 2022;8035459;Charlie;Cat;Domestic Shorthair;Siamese;98105
January 09 2022;S148824;Abby;Cat;Domestic Shorthair;Mix;98125
January 09 2022;S149280;Jack;Cat;American Shorthair;Mix;98122
January 09 2022;S157994;Kris;Cat;Domestic Shorthair;Mix;98118
January 09 2022;8014711;Bagheera;Cat;American Shorthair;Mix;98125
January 09 2022;S157995;Momo;Cat;Domestic Shorthair;Mix;98199
January 09 2022;8014989;Nora;Cat;American Shorthair;Mix;98116
January 09 2022;S157996;Cheesecake;Cat;Domestic Shorthair;Mix;98103
January 09 2022;8014977;Bonnie;Cat;Domestic Medium Hair;Mix;98119
January 09 2022;17062;Bella;Cat;Domestic Shorthair;Mix;98115
January 09 2022;431077;Boomer;Cat;Bengal;;98126
January 10 2022;8035482;Clementine;Cat;American Shorthair;Mix;98107
January 10 2022;S104327;Kobe;Cat;Domestic Medium Hair;Mix;98117
January 10 2022;S104326;Jasper;Cat;Domestic Medium Hair;Mix;98117
January 10 2022;S157998;Jaden;Cat;Domestic Shorthair;Mix;98103
January 10 2022;S158101;Bustah Reign;Cat;Domestic Shorthair;Mix;98125
January 10 2022;8035487;Napoli Monkee;Cat;Domestic Shorthair;Domestic Shorthair;98104
January 10 2022;73527;Saela;Cat;Domestic Shorthair;;98122
January 11 2022;8015270;Kota;Cat;Domestic Shorthair;Mix;98104
January 11 2022;S110454;Suzy-Kitty;Cat;Domestic Longhair;;98108
January 12 2022;28488;Daisy;Cat;Maine Coon;;98144
January 12 2022;28484;Mickey;Cat;Maine Coon;;98144
January 12 2022;S154393;Edgar;Cat;Domestic Medium Hair;Mix;98125
January 12 2022;8035523;Milo;Cat;American Shorthair;Mix;98103
January 12 2022;S110506;Clark;Cat;Domestic Shorthair;Maine Coon;98117
January 12 2022;S110507;Lewis;Cat;Domestic Shorthair;Maine Coon;98117
January 12 2022;S158117;Sookie;Cat;Domestic Shorthair;Mix;98104
January 12 2022;28235;Jingle;Cat;Domestic Shorthair;;98112
January 12 2022;8035536;Salmon;Cat;Domestic Shorthair;Mix;98117
January 13 2022;S157860;Biscuit;Cat;Domestic Shorthair;Mix;98108
