YEAR,LocationAbbr,LocationDesc,TopicType,TopicDesc,MeasureDesc,DataSource,Response,Sample_Size,Gender,Age,Education
2003,RI,Rhode Island,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,693,Overall,Age 25 and Older,<12th Grade
1995-1996   ,UT,Utah,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,1830,Overall,Age 20 and Older,>12th Grade
2014-2015,US,National (States and DC),Smokefree Rules/Policies – Survey Data,Smokefree Rules in Homes (Adults),Smokefree Rules in Homes,TUS-CPS,,121865,Overall,All Ages,All Grades
1998-1999   ,DC,District of Columbia,Tobacco Use – Survey Data,Cigar Use (Adults),Smoking Status,TUS-CPS,Former,908,Male,All Ages,All Grades
2001-2002,US,National (States and DC),Smokefree Rules/Policies – Survey Data,Smokefree Policies in Indoor Worksites (Adults),Smokefree Policies in Indoor Worksites,TUS-CPS,,85135,Overall,All Ages,All Grades
2014-2015,US,National (States and DC),Tobacco Use – Survey Data,Cessation (Adults),Quit Attempt in Past Year Among Every Day Cigarette Smokers,TUS-CPS,,17849,Overall,All Ages,All Grades
2006-2007   ,OR,Oregon,Tobacco Use – Survey Data,Cigarette Consumption (Adults),Daily Cigarette Consumption Among Every Day Smokers - Average,TUS-CPS,,187,Male,All Ages,All Grades
2010-2011,WV,West Virginia,Tobacco Use – Survey Data,Cigarette Consumption (Adults),Daily Cigarette Consumption Among Every Day Smokers - Average,TUS-CPS,,232,Female,All Ages,All Grades
2014-2015,WI,Wisconsin,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,TUS-CPS,Some Days,273,Female,All Ages,All Grades
1995-1996   ,MD,Maryland,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,TUS-CPS,Current,1442,Female,All Ages,All Grades
2001-2002,US,National (States and DC),Tobacco Use – Survey Data,Cessation (Adults),Percent of Former Smokers Among Ever Smokers,TUS-CPS,,81060,Overall,All Ages,All Grades
2014-2015,ME,Maine,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,TUS-CPS,Some Days,506,Overall,All Ages,All Grades
2006-2007,US,National (States and DC),Smokefree Rules/Policies – Survey Data,Smokefree Policies in Indoor Worksites (Adults),Smokefree Policies in Indoor Worksites,TUS-CPS,,72541,Overall,All Ages,All Grades
2001-2002,US,National (States and DC),Tobacco Use – Survey Data,Cessation (Adults),Quit Attempt in Past Year Among Every Day Cigarette Smokers,TUS-CPS,,22062,Overall,All Ages,All Grades
2010-2011,US,National (States and DC),Smokefree Rules/Policies – Survey Data,Smokefree Rules in Homes (Adults),Smokefree Rules in Homes,TUS-CPS,,120685,Overall,All Ages,All Grades
1998-1999   ,NJ,New Jersey,Tobacco Use – Survey Data,Cigar Use (Adults),Smoking Status,TUS-CPS,Former,3517,Female,All Ages,All Grades
2010-2011,AR,Arkansas,Tobacco Use – Survey Data,Cigar Use (Adults),Smoking Status,TUS-CPS,Former,1317,Female,All Ages,All Grades
2014-2015,US,National (States and DC),Smokefree Rules/Policies – Survey Data,Smokefree Policies in Indoor Worksites (Adults),Smokefree Policies in Indoor Worksites,TUS-CPS,,69059,Overall,All Ages,All Grades
2001-2002   ,MS,Mississippi,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,482,Overall,65 Years and Older,All Grades
1995-1996   ,OR,Oregon,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,TUS-CPS,Former,2801,Overall,All Ages,All Grades
2003,US,National (States and DC),Smokefree Rules/Policies – Survey Data,Smokefree Policies in Indoor Worksites (Adults),Smokefree Policies in Indoor Worksites,TUS-CPS,,77666,Overall,All Ages,All Grades
2010-2011,US,National (States and DC),Tobacco Use – Survey Data,Cessation (Adults),Percent of Former Smokers Among Ever Smokers,TUS-CPS,,62956,Overall,All Ages,All Grades
1995-1996   ,DC,District of Columbia,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,403,Overall,65 Years and Older,All Grades
2014-2015,US,National (States and DC),Tobacco Use – Survey Data,Cessation (Adults),Percent of Former Smokers Among Ever Smokers,TUS-CPS,,57774,Overall,All Ages,All Grades
2014-2015,UT,Utah,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),Smoking Status,TUS-CPS,Current,1445,Male,All Ages,All Grades
2010-2011,US,National (States and DC),Tobacco Use – Survey Data,Cessation (Adults),Quit Attempt in Past Year Among Every Day Cigarette Smokers,TUS-CPS,,21217,Overall,All Ages,All Grades
2003,HI,Hawaii,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),User Status,TUS-CPS,Current,1634,Female,All Ages,All Grades
1995-1996   ,VA,Virginia,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,TUS-CPS,Never,1988,Female,All Ages,All Grades
2006-2007,US,National (States and DC),Smokefree Rules/Policies – Survey Data,Smokefree Rules in Homes (Adults),Smokefree Rules in Homes,TUS-CPS,,123647,Overall,All Ages,All Grades
2010-2011,OH,Ohio,Tobacco Use – Survey Data,Cigar Use (Adults),Smoking Status,TUS-CPS,Never,2894,Male,All Ages,All Grades
2006-2007,US,National (States and DC),Tobacco Use – Survey Data,Cessation (Adults),Percent of Former Smokers Among Ever Smokers,TUS-CPS,,70031,Overall,All Ages,All Grades
1998-1999   ,SC,South Carolina,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,TUS-CPS,Current,1149,Male,All Ages,All Grades
